지점명,위도,경도,주소,우편번호
노브랜드 구성TR점,37.3050689876216,127.105049572318,"경기 용인시 기흥구 용구대로 2457 (보정동, 이마트트레이더스 구성점)",16907
노브랜드 군산미장점,35.9643178294144,126.723495629913,전북특별자치도 군산시 수송로 253,54086
노브랜드 군포당동TR점,37.339990,126.934411,경기 군포시 삼성로 74 (부곡동),15874
노브랜드 군포산본역점,37.3571937008434,126.93257750324965,경기 군포시 번영로 494,15862
노브랜드 김천율곡점,36.121597,128.181421,경북 김천시 혁신로 242 (율곡동),39660
노브랜드 김포운양점,37.65556668851867,126.68404537173215,경기 김포시 김포한강11로 312 (운양동),10073
노브랜드 김포장기점,37.6417909851498,126.679373065613,경기 김포시 김포한강2로23번길 32 (장기동),10090
노브랜드 김포풍무TR점,37.6067475,126.71983,경기 김포시 김포대로 715,10113
노브랜드 김포풍무점,37.604854511150045,126.72376081287953,경기 김포시 풍무로96번길 25-2 (풍무동),10114
노브랜드 김해율하점,35.1703954496669,128.813887719123,경남 김해시 율하2로115번길 5 (율하동),51018
노브랜드 김해진영점,35.31252079287455,128.7295852581405,경남 김해시 진영읍 장등로122번길 79 (진영리),50858
노브랜드 나주빛가람점,35.022549,126.791679,전남 나주시 상야4길 22 (빛가람동),58217
노브랜드 남양주다산점,37.623030529321504,127.1525189357912,경기 남양주시 다산중앙로123번길 7-14 (다산동),12248
노브랜드 남양주도곡점,37.57793584522993,127.22571726567207,"경기 남양주시 와부읍 덕소로 269 (도곡리, 동성프라자)",12275
노브랜드 남양주별내점,37.7086365,127.11568,"경기 남양주시 별내면 청학로중앙길 15 (청학리, 주공프라자)",12084
노브랜드 남양주오남점,37.6791582,127.2082947,경기 남양주시 오남읍 진건오남로 506 (오남리),12050
노브랜드 남양주진접점,37.715956,127.181448,경기 남양주시 진접읍 봉현로14번길 11 (장현리),12013
노브랜드 남양주퇴계원점,37.656628,127.144298,경기 남양주시 퇴계원면 퇴계원로 116,12119
노브랜드 남양주호평점,37.6554329,127.2459751,경기 남양주시 호평로68번길 7 (호평동),12151
노브랜드 남양주화도2점,37.654424,127.273930,경기 남양주시 화도읍 경춘로 1645,12169
노브랜드 남양주화도점,37.645527,127.304946,경기 남양주시 화도읍 창현로 57 (창현리),12183
노브랜드 노원상계점,37.67100570571957,127.0542441130526,서울 노원구 수락산로 222,01616
노브랜드 노원중계점,37.646025602205576,127.08152927047857,서울 노원구 중계로 119,01740
노브랜드 논산내동점,36.190334669068456,127.0936867581131,충남 논산시 시민로 275,32982
노브랜드 당진어시장점,36.8899833,126.6295405,충남 당진시 당진시장길 100 (읍내동),31777
노브랜드 당진원당점,36.9051098311187,126.6426260104806,충남 당진시 원당로 42 (원당동),31767
